sep=;
Release Tag;API Item Type;API Item Name
public;const;CalculatedPropertyAction
deprecated;const;CalculatedPropertyAction
public;interface;CalculatedPropertyActionProps
deprecated;interface;CalculatedPropertyActionProps
public;type;ClientPrefix
public;interface;ContextCustomUI
public;interface;ContextCustomUIProps
internal;const;createDefaultGroupsClient
internal;const;createDefaultMappingClient
internal;const;createDefaultPropertiesClient
internal;const;createGroupsClient
internal;const;createMappingClient
internal;const;createPropertiesClient
public;type;DataType
public;type;GetAccessTokenFn
public;const;GroupAction
public;interface;GroupActionProps
public;interface;GroupHilitedElements
public;const;GroupHilitedElementsContext
public;interface;GroupingCustomUI
public;interface;GroupingCustomUIProps
public;interface;GroupingMappingApiConfig
public;const;GroupingMappingApiConfigContext
public;const;GroupingMappingContext
public;interface;GroupingMappingContextProps
public;type;GroupingMappingCustomUI
public;enum;GroupingMappingCustomUIType
public;class;GroupingMappingProvider
public;class;GroupingMappingWidget
public;interface;GroupingMappingWidgetConfig
public;const;GroupPropertyAction
public;interface;GroupPropertyActionProps
public;const;GroupQueryBuilderCustomUI
public;const;Groups
internal;const;GroupsClientContext
internal;interface;GroupsOperationsProps
public;interface;GroupsProps
internal;const;GroupsView
internal;interface;GroupsViewProps
public;const;GroupsVisualization
public;interface;GroupsVisualizationProps
public;interface;IResult
public;const;ManualGroupingCustomUI
public;const;MappingAction
public;interface;MappingActionProps
internal;const;MappingClientContext
public;const;Mappings
internal;interface;MappingsOperationsProps
public;interface;MappingsProps
internal;const;MappingsView
internal;interface;MappingsViewProps
internal;const;PropertiesClientContext
public;interface;PropertyMap
public;const;PropertyMenu
public;interface;PropertyMenuProps
public;const;PropertyMenuWithVisualization
public;interface;PropertyMenuWithVisualizationProps
public;function;resolveFormulaDataType
public;const;SearchGroupingCustomUI
public;const;useGroupHilitedElementsContext
public;const;useGroupingMappingApiConfig
internal;const;useGroupsClient
internal;const;useGroupsOperations
internal;const;useMappingClient
internal;const;useMappingsOperations
internal;const;usePropertiesClient
