sep=;
Release Tag;API Item Type;API Item Name
public;function;AddFavoritePropertyContextMenuItem
public;function;AncestorsNavigationControls
public;interface;AncestorsNavigationControlsProps
public;interface;ContextMenuItemProps
public;interface;ContextMenuProps
public;function;CopyPropertyTextContextMenuItem
public;function;createPropertyGrid
public;interface;DataProviderProps
public;interface;DefaultContextMenuItemProps
public;interface;FavoritePropertiesContextMenuItemProps
public;interface;FilteringPropertyGridProps
public;class;IModelAppUserPreferencesStorage
public;function;MultiElementPropertyGrid
public;interface;MultiElementPropertyGridProps
public;function;NullValueSettingContext
public;type;PerformanceTrackedFeatures
public;interface;PreferencesStorage
public;function;PropertyGrid
public;function;PropertyGridComponent
public;interface;PropertyGridComponentProps
public;interface;PropertyGridContentBaseProps
public;type;PropertyGridContentProps
public;function;PropertyGridContextMenuItem
public;interface;PropertyGridContextMenuItemProps
public;class;PropertyGridManager
public;interface;PropertyGridPropertyUpdatedArgs
public;type;PropertyGridProps
public;function;PropertyGridSettingsMenuItem
public;interface;PropertyGridSettingsMenuItemProps
public;class;PropertyGridUiItemsProvider
deprecated;class;PropertyGridUiItemsProvider
public;interface;PropertyGridUiItemsProviderProps
deprecated;interface;PropertyGridUiItemsProviderProps
public;const;PropertyGridWidgetId
public;type;PropertyGridWidgetProps
public;function;RemoveFavoritePropertyContextMenuItem
public;interface;SettingsMenuItemProps
public;interface;SettingsMenuProps
public;function;ShowHideNullValuesSettingsMenuItem
public;interface;ShowHideNullValuesSettingsMenuItemProps
public;interface;SingleElementDataProviderProps
public;function;SingleElementPropertyGrid
public;type;SingleElementPropertyGridProps
public;function;TelemetryContextProvider
public;function;usePropertyGridTransientState
